Presidente;ideologia;data;dia;month;PWR;ACH;AFF;I1;P1
LopezObrador;esquerda;07/fev;7;2;0,009924573;0,004366812;0,006550218;0,5122;0,5102
LopezObrador;esquerda;11/fev;11;2;0,011318619;0,009620826;0,008866252;0,7273;0,3631
LopezObrador;esquerda;14/fev;14;2;0,017730496;0,006619385;0,006855792;0,3191;0,3659
LopezObrador;esquerda;18/fev;18;2;0,019216371;0,008984278;0,006738208;0,6818;0,2182
LopezObrador;esquerda;20/fev;20;2;0,015850652;0,008277563;0,008629799;0,6;0,4545
LopezObrador;esquerda;24/fev;24;2;0,018976699;0,006725919;0,007206342;0,8519;0,3162
LopezObrador;esquerda;27/fev;27;2;0;0,00591716;0;0,28;0,4118
LopezObrador;esquerda;04/mar;4;3;0,013839891;0,00651289;0,008141113;0,2381;0,3889
LopezObrador;esquerda;10/mar;10;3;0,013398839;0,006029477;0,007369361;0,4;0,38
LopezObrador;esquerda;12/mar;12;3;0,002708192;0,008124577;0,005416385;0,8947;0,5484
LopezObrador;esquerda;16/mar;16;3;0,009617311;0,006010819;0,004808656;0,5238;0,488
LopezObrador;esquerda;17/mar;17;3;0,012064965;0,006960557;0,009976798;0,4203;0,2583
LopezObrador;esquerda;21/mar;21;3;0,011664899;0,008483563;0,005302227;0,5556;0,3103
LopezObrador;esquerda;24/mar;24;3;0,004164188;0,007733492;0,01784652;0,2222;0,5273
LopezObrador;esquerda;29/mar;29;3;0,007228916;0,002409639;0,00757315;0,697;0,6
LopezObrador;esquerda;30/mar;30;3;0,00351151;0,007413188;0,013655872;0,6875;0,4545
LopezObrador;esquerda;31/mar;31;3;0,008515815;0,009210984;0,013381995;0,8033;0,5163
LopezObrador;esquerda;01/abr;1;4;0,008822719;0,005514199;0,008822719;0,5882;0,3647
LopezObrador;esquerda;09/abr;9;4;0,013435701;0,00806142;0,010364683;0,1304;0,4286
LopezObrador;esquerda;15/abr;15;4;0,008507853;0,008835079;0,006053665;0,4419;0,5301
LopezObrador;esquerda;17/abr;17;4;0,012955922;0,006759611;0,009716941;0,2727;0,3398
LopezObrador;esquerda;20/abr;20;4;0,009143704;0,004818979;0,009514395;0,7674;0,5378
LopezObrador;esquerda;24/abr;24;4;0,011093183;0,008874546;0,008269463;0,7222;0,4609
LopezObrador;esquerda;30/abr;30;4;0,006729475;0,010574889;0,012113055;0,6;0,5441
LopezObrador;esquerda;01/mai;1;5;0,008482064;0,007245096;0,007598516;0,4231;0,3191
LopezObrador;esquerda;04/mai;4;5;0,020529017;0,007303593;0,006119226;0,2381;0,3239
LopezObrador;esquerda;06/mai;6;5;0,010503342;0,005456282;0,00736598;0,5417;0,4438
LopezObrador;esquerda;11/mai;11;5;0,01034531;0,00754928;0,003914441;0,5429;0,3293
LopezObrador;esquerda;15/mai;15;5;0,009512992;0,005537413;0,007099247;0,36;0,5
LopezObrador;esquerda;18/mai;18;5;0,014560162;0,007886754;0,004044489;0,5556;0,0758
LopezObrador;esquerda;21/mai;21;5;0,021382089;0,007282306;0,007747134;0,44;0,114
LopezObrador;esquerda;25/mai;25;5;0,0080316;0,010006583;0,004739961;0,7692;0,4815
LopezObrador;esquerda;26/mai;26;5;0,0080316;0,010006583;0,004739961;0,7692;0,4815
LopezObrador;esquerda;28/mai;28;5;0,010735998;0,006726167;0,006079421;0,377;0,4
LopezObrador;esquerda;02/jun;2;6;0,00613748;0,005728314;0,005319149;0,8824;0,1321
LopezObrador;esquerda;09/jun;9;6;0,015921931;0,006848142;0,010614621;0,48;0,2459
LopezObrador;esquerda;10/jun;10;6;0,009586917;0,005639363;0,007331172;0,3778;0,3161
LopezObrador;esquerda;15/jun;15;6;0,013040063;0,006912804;0,007541241;0,5385;0,4138
LopezObrador;esquerda;18/jun;18;6;0,012042612;0,009263548;0,008337193;0,3953;0,3394
LopezObrador;esquerda;22/jun;22;6;0,017113784;0,005396238;0,008017268;0,2308;0,3407
LopezObrador;esquerda;25/jun;25;6;0,00597152;0,00413413;0,012861736;0,8182;0,5932
LopezObrador;esquerda;30/jun;30;6;0,010184993;0,006027853;0,007067138;0,25;0,2977
LopezObrador;esquerda;02/jul;2;7;0,015818613;0,007645663;0,00817295;0,5;0,3494
LopezObrador;esquerda;06/jul;6;7;0,01686217;0,004765396;0,008980938;0,4118;0,3875
LopezObrador;esquerda;10/jul;10;7;0,009078529;0,008624603;0,016114389;0,4872;0,7248
LopezObrador;esquerda;13/jul;13;7;0,017165814;0,007487217;0,007487217;0,2903;0,5404
LopezObrador;esquerda;16/jul;16;7;0,014352818;0,008350731;0,004175365;0,4074;0,3333
LopezObrador;esquerda;20/jul;20;7;0,016756757;0,006846847;0,012432432;0,4634;0,3039
LopezObrador;esquerda;22/jul;22;7;0,006607073;0,008744656;0,008161679;0,6316;0,4504
LopezObrador;esquerda;27/jul;27;7;0,013806706;0,004930966;0,005424063;0,5714;0,5357
LopezObrador;esquerda;30/jul;30;7;0,008839354;0,00563669;0,007302075;0,6078;0,5431
Fernandez;centro esquerda;14/fev;14;2;0,006741573;0,017977528;0,016853933;1;0,4783
Fernandez;centro esquerda;19/fev;19;2;0,012084592;0,007049345;0,020140987;1;0,548
Fernandez;centro esquerda;20/fev;20;2;0,013544018;0,006019564;0,0082769;0,5;0,4706
Fernandez;centro esquerda;28/fev;28;2;0,010721248;0,005847953;0,021442495;0;0,6842
Fernandez;centro esquerda;21/fev;21;2;0,003813155;0,015252622;0,037178265;0,5789;0,6154
Fernandez;centro esquerda;01/mar;1;3;0,014934349;0,01513481;0,012027664;0,5398;0,3692
Fernandez;centro esquerda;04/mar;4;3;0,017202693;0,010471204;0,008975318;1;0,1628
Fernandez;centro esquerda;04/mar;4;3;0,004850088;0,012345679;0,010141093;0,4545;0,3438
Fernandez;centro esquerda;10/mar;10;3;0,006666667;0,011794872;0,008717949;0,6923;0,0606
Fernandez;centro esquerda;13/mar;13;3;0,007968127;0,01062417;0,013280212;1;0,2941
Fernandez;centro esquerda;20/mar;20;3;0,00862069;0,006896552;0,014367816;0,84;0,25
Fernandez;centro esquerda;30/mar;30;3;0,012683314;0,00673801;0,01228696;0,5;0,4545
Fernandez;centro esquerda;01/abr;1;4;0,00805153;0,010466989;0,015297907;0,6;0,6296
Fernandez;centro esquerda;08/abr;8;4;0,00877193;0,007309942;0,012426901;0,8462;0,6818
Fernandez;centro esquerda;15/abr;15;4;0,018123667;0,00533049;0,026652452;0,6667;0,4
Fernandez;centro esquerda;16/abr;16;4;0,003792668;0,01011378;0,018963338;0,3333;0,4286
Fernandez;centro esquerda;25/abr;25;4;0,010035419;0,003246753;0,008264463;0,6596;0,4571
Fernandez;centro esquerda;12/mai;12;5;0,003601008;0,005401512;0,005041412;0,5918;0,4609
Fernandez;centro esquerda;14/mai;14;5;0,005988024;0,013772455;0,01497006;0,5556;0,5429
Fernandez;centro esquerda;15/mai;15;5;0,007075472;0,003537736;0,008254717;1;0,5172
Fernandez;centro esquerda;19/mai;19;5;0,008885851;0,007518797;0,010936432;0,75;0,4118
Fernandez;centro esquerda;21/mai;21;5;0,007327586;0,005603448;0,009913793;0,2727;0,3731
Fernandez;centro esquerda;26/mai;26;5;0,011252813;0,005251313;0,00300075;0,5;0,5484
Fernandez;centro esquerda;28/mai;28;5;0,004437049;0,009983361;0,01442041;1;0,4737
Fernandez;centro esquerda;29/mai;29;5;0,006968641;0,005226481;0,013937282;1;0,6923
Fernandez;centro esquerda;01/jun;1;6;0,000853971;0,011955594;0,020495303;0,8571;0,6923
Fernandez;centro esquerda;13/jun;13;6;0,005885815;0,010005886;0,015891701;0,8;0,4074
Fernandez;centro esquerda;25/jun;25;6;0,003693444;0,005540166;0,016620499;1;0,8065
Fernandez;centro esquerda;26/jun;26;6;0,008136993;0,008744231;0,00935147;0,5143;0,5364
Fernandez;centro esquerda;03/jul;3;7;0,006038647;0,006038647;0,023550725;-0,0769;0,15
Fernandez;centro esquerda;07/jul;7;7;0,007637232;0,008591885;0,007159905;0,3043;0,3818
Fernandez;centro esquerda;07/jul;7;7;0,003960396;0,005445545;0,012871287;0,8947;0,4043
Fernandez;centro esquerda;15/jul;15;7;0,005769231;0,005128205;0,013461538;0,25;0,5833
Fernandez;centro esquerda;18/jul;18;7;0,008008357;0,007486072;0,010097493;0,6471;0,2881
Fernandez;centro esquerda;22/jul;22;7;0,00910596;0,00910596;0,016970199;0,6923;0,3947
Fernandez;centro esquerda;28/jul;28;7;0,003586066;0,007172131;0,017418033;0,9259;0,5849
Fernandez;centro esquerda;29/jul;29;7;0,021759403;0,012433945;0,007149518;0,7273;0,2128
Fernandez;centro esquerda;10/ago;10;8;0,015810277;0,014229249;0,019762846;0,8824;0,5
Duque;centro direita;05/fev;5;2;0,022222222;0,012037037;0,010648148;0,7143;0,4615
Duque;centro direita;12/fev;12;2;0,00522466;0,004179728;0,003134796;1;0,5
Duque;centro direita;27/fev;27;2;0,006479202;0,009718803;0,009718803;0,68;0,5449
Duque;centro direita;07/mar;7;3;0,006486486;0,006486486;0,008648649;0,6;0,5714
Duque;centro direita;08/mar;8;3;0,003051439;0,009154316;0,008282476;0,2;0,5429
Duque;centro direita;11/mar;11;3;0,001760563;0,007042254;0,008802817;0,4;0,6923
Duque;centro direita;12/mar;12;3;0,00360036;0,00540054;0,00810081;1;0,2381
Duque;centro direita;15/mar;15;3;0,004508197;0,007786885;0,014344262;0,6522;0,7097
Duque;centro direita;18/mar;18;3;0,00567992;0,003508186;0,012028065;0,68;0,4228
Duque;centro direita;19/mar;19;3;0,003298153;0,012532982;0,018139842;0,5882;0,6
Duque;centro direita;23/mar;23;3;0,009285426;0,004037142;0,016552281;0,8333;0,617
Duque;centro direita;26/mar;26;3;0,009196515;0,011616651;0,023233301;0,7037;0,4468
Duque;centro direita;01/abr;1;4;0,010197145;0,006798097;0,01903467;1;0,5333
Duque;centro direita;02/abr;2;4;0,0068793;0,005003127;0,023764853;0,6154;0,6957
Duque;centro direita;07/abr;7;4;0,006088993;0,009367681;0,01498829;0,6364;0,55
Duque;centro direita;08/abr;8;4;0,008412198;0,004206099;0,034700315;0,6364;0,4737
Duque;centro direita;13/abr;13;4;0,003032929;0,009532062;0,01559792;0,5652;0,88
Duque;centro direita;15/abr;15;4;0,003514938;0,011716462;0,016988869;0,7647;0,4118
Duque;centro direita;16/abr;16;4;0,005684303;0,010931351;0,013117621;0,7576;0,7576
Duque;centro direita;20/abr;20;4;0,005326605;0,008690777;0,011494253;0,697;0,5224
Duque;centro direita;22/abr;22;4;0,001044932;0,006269592;0,021943574;0,3333;0,6667
Duque;centro direita;28/abr;28;4;0,004249292;0,019121813;0,021954674;0,6667;0,4054
Duque;centro direita;07/mai;7;5;0,004922067;0,009844135;0,010664479;0,6;0,92
Duque;centro direita;11/mai;11;5;0,004207574;0,009817672;0,011220196;1;0,8462
Duque;centro direita;12/mai;12;5;0,005516154;0,004728132;0,015760441;-0,1429;0,4483
Duque;centro direita;14/mai;14;5;0,006006006;0,00975976;0,011261261;0,5;0,6129
Duque;centro direita;15/mai;15;5;0,008;0,007384615;0,017846154;0,5238;0,5897
Duque;centro direita;18/mai;18;5;0,00270636;0,01217862;0,02435724;1;0,6
Duque;centro direita;19/mai;19;5;0,008;0,010666667;0,003333333;0,4737;0,3913
Duque;centro direita;26/mai;26;5;0,009883199;0,001796945;0,02066487;1;0,3636
Duque;centro direita;28/mai;28;5;0,003875969;0,012919897;0,014211886;0,4286;0,6364
Duque;centro direita;29/mai;29;5;0,003305365;0,009153318;0,00661073;0,625;0,5439
Duque;centro direita;01/jun;1;6;0,004231312;0,006699577;0,006699577;0,6923;0,4419
Duque;centro direita;03/jun;3;6;0,005221932;0,003916449;0,010443864;0,5;0,8
Duque;centro direita;09/jun;9;6;0,010409438;0,00832755;0,009715475;0,1111;0,8
Duque;centro direita;10/jun;10;6;0,005988024;0,010778443;0,014371257;1;0,4737
Duque;centro direita;11/jun;11;6;0,004207574;0,009817672;0,011220196;1;0,8462
Duque;centro direita;12/jun;12;6;0,007666099;0,005110733;0,017887564;0,7143;0,6667
Duque;centro direita;16/jun;16;6;0,005128205;0,011188811;0,008391608;0,9;0,7143
Duque;centro direita;17/jun;17;6;0,003836317;0,007672634;0,014066496;1;1
Duque;centro direita;18/jun;18;6;0,009630588;0,013942791;0,010924249;0,7143;0,4937
Duque;centro direita;19/jun;19;6;0,002713704;0,007236545;0,009045681;0,6154;0,8065
Duque;centro direita;25/jun;25;6;0,00554785;0,013176144;0,013176144;1;0,5882
Duque;centro direita;26/jun;26;6;0,00427716;0,007698888;0,015397776;1;0,5172
Duque;centro direita;01/jul;1;7;0,003398471;0,012744265;0,023789295;1;0,4706
Duque;centro direita;03/jul;3;7;0,004371054;0,013113162;0,011170471;0,7895;0,55
Duque;centro direita;13/jul;13;7;0,000931532;0,00605496;0,011178388;0,8462;0,8462
Duque;centro direita;15/jul;15;7;0,003814367;0,011443102;0,008900191;0,6;0,697
Duque;centro direita;17/jul;17;7;0,003128259;0,010427529;0,019812304;0,8333;0,8333
Duque;centro direita;21/jul;21;7;0,0048583;0,006747638;0,009446694;0,7273;0,5588
Duque;centro direita;23/jul;23;7;0,002824859;0,012241055;0,013182674;0,8;0,1667
Duque;centro direita;24/jul;24;7;0,001763668;0,003527337;0,010582011;1;0,875
Duque;centro direita;27/jul;27;7;0,003352892;0,013411567;0,007544007;0,6;0,4483
Duque;centro direita;29/jul;29;7;0,005874674;0,006527415;0,009791123;0,7143;0,4737
Bolsonaro;direita;03/fev;3;2;0,008466604;0,009407338;0,013170273;0,1429;0,3636
Bolsonaro;direita;05/fev;5;2;0,021674141;0,002989537;0,013452915;0,6667;0,4706
Bolsonaro;direita;11/fev;11;2;0,007237636;0,003618818;0,012062726;0,3333;0,4118
Bolsonaro;direita;11/fev;11;2;0,007309942;0,010233918;0,027777778;0,6;0,375
Bolsonaro;direita;14/fev;14;2;0,008552632;0,004605263;0,018421053;0,7647;0,3778
Bolsonaro;direita;15/fev;15;2;0,00550585;0,007570544;0,004129387;0,4286;0,3659
Bolsonaro;direita;20/fev;20;2;0,008354219;0,007518797;0,005012531;0,5238;0,6667
Bolsonaro;direita;03/mar;3;3;0,003512881;0,005854801;0,018735363;1;0,6923
Bolsonaro;direita;09/mar;9;3;0,013394818;0,003513395;0,006148441;0,6216;0,1667
Bolsonaro;direita;10/mar;10;3;0,009593422;0,01096391;0,015532206;0,5833;0,5714
Bolsonaro;direita;10/mar;10;3;0,008064516;0,016129032;0,016129032;1;0,5
Bolsonaro;direita;17/abr;17;4;0,00776699;0,008737864;0,016504854;0,8182;0,5484
Bolsonaro;direita;24/abr;24;4;0,017875075;0,005623619;0,007832898;0,561;0,2296
Bolsonaro;direita;29/abr;29;4;0,007209805;0,005767844;0,022350397;0,6364;0,8065
Bolsonaro;direita;21/mai;21;5;0,014234875;0,009489917;0,018979834;1;0,6471
Bolsonaro;direita;05/jun;5;6;0,007352941;0,004411765;0,020588235;1;0,5789
Bolsonaro;direita;08/jun;8;6;0,025641026;0,017094017;0,012820513;1;1
Bolsonaro;direita;09/jun;9;6;0,006915629;0,005071462;0,007376671;0,8889;0,4091
Bolsonaro;direita;17/jun;17;6;0,004587156;0,005733945;0,01146789;1;0,1
Bolsonaro;direita;17/jul;17;7;0,007861635;0,007861635;0,018867925;1;1
Bolsonaro;direita;22/jun;22;6;0,008139535;0,01744186;0,013953488;1;0,8333
Bolsonaro;direita;22/jun;22;6;0,005102041;0,010204082;0,011479592;0,6667;0,4667
Bolsonaro;direita;25/jun;25;6;0,007407407;0,007407407;0,024691358;1;1
Bolsonaro;direita;30/jun;30;6;0,007352941;0,004411765;0,020588235;1;0,5789
Bolsonaro;direita;02/jul;2;7;0,00753012;0,019578313;0,021084337;0,8333;0,4286
Bolsonaro;direita;16/jul;16;7;0,005434783;0,009057971;0,02173913;0,6;0,8333
Bolsonaro;direita;30/jul;30;7;0,005660377;0,00754717;0,018867925;1;0,6667
